SampleID,Site,Datetime,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O
WG0057,glacier_hut,9/8/19 18:00,,14.92,,5.52,,,91.18,4.56,0,2.55,0,0.06,0.15,0,0.7,0.16,0.01,,0.12,,0.01,0.03,2.44,0,0,0.01,0,0.78,1.58,0.16,,-117.676,-15.764
WG0058,glacier_hut,9/9/19 8:50,,15.13,,5.5,,,86.41,4.32,0,2.53,0,0.05,0.17,0,0.56,0.12,0.01,,0.13,,0.01,0.03,2.65,0,0.01,0.01,0,0.96,0.85,0.05,,-120.065,-16.48
WG0059,Tundra,9/9/19 12:40,,29.34,,5.57,,,216.86,10.85,0,4.68,0.01,0.08,0.14,0,1.03,0.53,0.03,,0.22,,0.01,0.03,2.15,0,0.01,0.01,0,0.89,1.28,0.12,,-110.334,-14.972
WG0060,mid_gw,9/9/19 13:15,,92.04,,5.92,,,564.71,28.26,0,17.74,0,0.16,0.36,0,1.22,0.82,0.09,,0.26,,0,0.03,15.8,0,0,0.01,0,1.2,1.55,0.09,,-104.969,-13.875
WG0061,glacier_hut,9/10/19 9:35,,17.83,,5.68,,,88.67,4.44,0,2.58,0,0.06,0.18,0,0.68,0.15,0.01,,0.16,,0.01,0.03,2.95,0,0,0.01,0,0.91,1.96,0.03,,-121.971,-16.784
WG0062,mid_gw,9/10/19 11:55,,80.52,,5.93,,,556.94,27.87,0,15.9,0,0.14,0.32,0,0.95,0.77,0.08,,0.27,,0,0.03,11.39,0,0,0.01,0,0.83,1.62,0.09,,-105.469,-13.694
WG0063,Tundra,9/10/19 12:40,,27.82,,5.8,,,217.91,10.9,0,4.8,0,0.06,0.14,0,1.08,0.55,0.03,,0.2,,0,0.03,2.17,0,0.01,0.05,0,0.97,1.36,0.14,,-110.847,-15.081
WG0064,glacier_lake,9/19/19 11:15,0.2,22.38,,5.62,,,93.44,4.68,0,3.39,0.01,0.07,0.29,0,0.64,0.18,0.02,,0.11,,0.01,0.03,4.6,0,0,0,0,,,,,-122.811,-16.948
WG0065,shrub_creek,9/19/19 15:00,8.6,59.01,,5.92,,,491.15,24.58,0,11.71,0,0.11,0.27,0,1.31,0.99,0.06,,0.41,,0.04,0.03,4.31,0,0.03,0.04,0,,,,,-116.684,-15.592
WG0066,glacier_hut,10/11/19 16:40,0.2,49.85,,5.79,,,215.74,10.8,0,8.05,0.01,0.11,0.6,0,0.86,0.27,0.04,,0.35,,0.02,0.03,10.48,0,0.01,0.01,0,0.73,1.3,0.37,0.35,-125.901,-16.945
WG0067,Snow Sample,10/11/19 8:00,,2.3,,5.5,,,9.34,0.47,0,0.02,0,0.04,0,0,0.49,0.06,0,,0.07,,0.02,0.03,0.06,0,0.01,0.01,0,0.95,1.6,0.27,0.23,-249.797,-32.652
WG0068,Forest North,10/12/19 12:20,,67.1,,5.93,,,566.54,28.35,0,13.51,0,0.14,0.33,0,1.14,0.96,0.07,,0.57,,0.07,0.03,4.9,0,0.06,0.01,0,1.78,1.36,0.66,9.36,-126.106,-16.743
WG0069,Nellie_Juan,10/12/19 14:25,,71.47,,5.82,,,445.81,22.31,0,12.25,0.01,0.26,0.7,0,1.23,0.68,0.07,,0.57,,0.04,0.03,9.69,0,0.04,0.01,0,0.03,1.33,0.74,3.67,-117.226,-15.888
